start_id,end_id,type
W1504694836,C119857082,RELATED_TO
W1504694836,C2777855551,RELATED_TO
W1504694836,C183931066,RELATED_TO
W1504694836,C5481197,RELATED_TO
W1504694836,C10229987,RELATED_TO
W1504694836,C136764020,RELATED_TO
W1504694836,C33923547,RELATED_TO
W1504694836,C134306372,RELATED_TO
W1534477342,A5074537073,WRITTEN_BY
A5074537073,I131249849,AFFILIATED_WITH
W1534477342,C41008148,RELATED_TO
W1534477342,C22019652,RELATED_TO
W1534477342,C45942800,RELATED_TO
W1534477342,C46686674,RELATED_TO
W1534477342,C141404830,RELATED_TO
W1534477342,C154945302,RELATED_TO
W1534477342,C119857082,RELATED_TO
W1534477342,C95623464,RELATED_TO
W1534477342,C107673813,RELATED_TO
W1534477342,C153180895,RELATED_TO
W1534477342,C50644808,RELATED_TO
W2118020653,A5063975186,WRITTEN_BY
A5063975186,I4210107558,AFFILIATED_WITH
W2118020653,C41008148,RELATED_TO
W2118020653,C94124525,RELATED_TO
W2118020653,C63000827,RELATED_TO
W2118020653,C154945302,RELATED_TO
W2118020653,C95623464,RELATED_TO
W2118020653,C119857082,RELATED_TO
W2118020653,C2986744138,RELATED_TO
W2118020653,C204321447,RELATED_TO
W2118020653,C199360897,RELATED_TO
W2953384591,A5109387322,WRITTEN_BY
A5109387322,I1291425158,AFFILIATED_WITH
W2953384591,A5110193634,WRITTEN_BY
A5110193634,I1291425158,AFFILIATED_WITH
W2953384591,A5100665512,WRITTEN_BY
A5100665512,I1291425158,AFFILIATED_WITH
W2953384591,A5100715424,WRITTEN_BY
A5100715424,I1291425158,AFFILIATED_WITH
W2953384591,A5068599616,WRITTEN_BY
A5068599616,I1291425158,AFFILIATED_WITH
W2953384591,A5043872671,WRITTEN_BY
A5043872671,I1291425158,AFFILIATED_WITH
W2953384591,A5004386681,WRITTEN_BY
A5004386681,I1291425158,AFFILIATED_WITH
W2953384591,A5012998255,WRITTEN_BY
A5012998255,I1291425158,AFFILIATED_WITH
W2953384591,A5029611587,WRITTEN_BY
A5029611587,I1291425158,AFFILIATED_WITH
W2953384591,A5089543053,WRITTEN_BY
A5089543053,I1291425158,AFFILIATED_WITH
W2953384591,A5000650022,WRITTEN_BY
A5000650022,I1291425158,AFFILIATED_WITH
W2953384591,A5009510257,WRITTEN_BY
A5009510257,I1291425158,AFFILIATED_WITH
W2953384591,A5024140027,WRITTEN_BY
A5024140027,I1291425158,AFFILIATED_WITH
W2953384591,A5063771762,WRITTEN_BY
A5063771762,I1291425158,AFFILIATED_WITH
W2953384591,A5067335143,WRITTEN_BY
A5067335143,I1291425158,AFFILIATED_WITH
W2953384591,A5028992619,WRITTEN_BY
A5028992619,I1291425158,AFFILIATED_WITH
W2953384591,A5016586245,WRITTEN_BY
A5016586245,I1291425158,AFFILIATED_WITH
W2953384591,A5004650249,WRITTEN_BY
A5004650249,I1291425158,AFFILIATED_WITH
W2953384591,A5014405928,WRITTEN_BY
A5014405928,I1291425158,AFFILIATED_WITH
W2953384591,A5080764662,WRITTEN_BY
A5080764662,I1291425158,AFFILIATED_WITH
W2953384591,A5104075606,WRITTEN_BY
A5104075606,I1291425158,AFFILIATED_WITH
W2953384591,A5102988664,WRITTEN_BY
A5102988664,I1291425158,AFFILIATED_WITH
W2953384591,C2778755073,RELATED_TO
W2953384591,C41008148,RELATED_TO
W2953384591,C154945302,RELATED_TO
W2953384591,C119857082,RELATED_TO
W2953384591,C58640448,RELATED_TO
W2953384591,C205649164,RELATED_TO
W2913668833,A5051617344,WRITTEN_BY
A5051617344,I74973139,AFFILIATED_WITH
W2913668833,A5107835063,WRITTEN_BY
A5107835063,I24603500,AFFILIATED_WITH
W2913668833,A5003010184,WRITTEN_BY
A5003010184,I185261750,AFFILIATED_WITH
A5003010184,I1291425158,AFFILIATED_WITH
W2913668833,C2777601897,RELATED_TO
W2913668833,C161191863,RELATED_TO
W2913668833,C41008148,RELATED_TO
W2913668833,C509550671,RELATED_TO
W2913668833,C154945302,RELATED_TO
W2913668833,C71924100,RELATED_TO
W2913668833,C126838900,RELATED_TO
W1506806321,A5052891951,WRITTEN_BY
W1506806321,C154945302,RELATED_TO
W1506806321,C41008148,RELATED_TO
W1506806321,C105795698,RELATED_TO
W1506806321,C153180895,RELATED_TO
W1506806321,C119857082,RELATED_TO
W1506806321,C33923547,RELATED_TO
W2149684865,A5014687727,WRITTEN_BY
A5014687727,I200332995,AFFILIATED_WITH
W2149684865,C41008148,RELATED_TO
W2149684865,C12267149,RELATED_TO
W2149684865,C119857082,RELATED_TO
W2149684865,C154945302,RELATED_TO
W2149684865,C94124525,RELATED_TO
W2149684865,C136197465,RELATED_TO
W2149684865,C2780451532,RELATED_TO
W2149684865,C2986744138,RELATED_TO
W2149684865,C120936955,RELATED_TO
W2149684865,C138885662,RELATED_TO
W2149684865,C187736073,RELATED_TO
W2149684865,C111472728,RELATED_TO
W2149684865,C162324750,RELATED_TO
W2271840356,A5109387322,WRITTEN_BY
W2271840356,A5027820479,WRITTEN_BY
W2271840356,A5110193634,WRITTEN_BY
W2271840356,A5047736127,WRITTEN_BY
W2271840356,A5100715424,WRITTEN_BY
W2271840356,A5069624169,WRITTEN_BY
W2271840356,A5066927687,WRITTEN_BY
W2271840356,A5068599616,WRITTEN_BY
W2271840356,A5043872671,WRITTEN_BY
W2271840356,A5004386681,WRITTEN_BY
W2271840356,A5012998255,WRITTEN_BY
W2271840356,A5004271128,WRITTEN_BY
W2271840356,A5064042510,WRITTEN_BY
W2271840356,A5029611587,WRITTEN_BY
W2271840356,A5089543053,WRITTEN_BY
W2271840356,A5110220840,WRITTEN_BY
W2271840356,A5067370075,WRITTEN_BY
W2271840356,A5031789995,WRITTEN_BY
W2271840356,A5000650022,WRITTEN_BY
W2271840356,A5009510257,WRITTEN_BY
W2271840356,A5045113162,WRITTEN_BY
W2271840356,A5024140027,WRITTEN_BY
W2271840356,A5063771762,WRITTEN_BY
W2271840356,A5067335143,WRITTEN_BY
W2271840356,A5039751155,WRITTEN_BY
W2271840356,A5113452656,WRITTEN_BY
W2271840356,A5032356827,WRITTEN_BY
W2271840356,A5028992619,WRITTEN_BY
W2271840356,A5006446297,WRITTEN_BY
W2271840356,A5080065269,WRITTEN_BY
W2271840356,A5016586245,WRITTEN_BY
W2271840356,A5013813527,WRITTEN_BY
W2271840356,A5004650249,WRITTEN_BY
W2271840356,A5059594867,WRITTEN_BY
W2271840356,A5003562101,WRITTEN_BY
W2271840356,A5014405928,WRITTEN_BY
W2271840356,A5039276358,WRITTEN_BY
W2271840356,A5080764662,WRITTEN_BY
W2271840356,A5104075606,WRITTEN_BY
W2271840356,A5102988664,WRITTEN_BY
W2271840356,C2778755073,RELATED_TO
W2271840356,C41008148,RELATED_TO
W2271840356,C154945302,RELATED_TO
W2271840356,C119857082,RELATED_TO
W2271840356,C120314980,RELATED_TO
W2271840356,C205649164,RELATED_TO
W2271840356,C58640448,RELATED_TO
W1901616594,A5049812527,WRITTEN_BY
A5049812527,I95457486,AFFILIATED_WITH
W1901616594,A5102921433,WRITTEN_BY
A5102921433,I74973139,AFFILIATED_WITH
W1901616594,C64543145,RELATED_TO
W1901616594,C41008148,RELATED_TO
W1901616594,C154945302,RELATED_TO
W1901616594,C2164484,RELATED_TO
W1901616594,C2522767166,RELATED_TO
W1901616594,C119857082,RELATED_TO
W1901616594,C75684735,RELATED_TO
W1901616594,C45374587,RELATED_TO
W1901616594,C119421448,RELATED_TO
W1901616594,C127413603,RELATED_TO
W1901616594,C124101348,RELATED_TO
W1901616594,C71924100,RELATED_TO
W1901616594,C76155785,RELATED_TO
W1901616594,C126838900,RELATED_TO
W1901616594,C11413529,RELATED_TO
W1901616594,C146978453,RELATED_TO
